name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Duke of Wellington,77 Wardour Street,,,City of Westminster,,,E09000033,West End,E05000649,-0.13483962575170597,51.51281757765043,529300.8750688926,181077.86587773933,11/27/2022
Village,81 Wardour Street,,,City of Westminster,http://www.village-soho.co.uk/venue-details/,,E09000033,West End,E05000649,-0.13496482872606932,51.512927465710376,529291.8783815572,181089.86182437913,11/27/2022
Comptons of Soho,51-53 Old Compton Street,,,City of Westminster,http://www.faucetinn.com/comptons/about/,,E09000033,West End,E05000649,-0.13416616293500533,51.51307661563382,529346.8595915649,181107.85711138713,11/27/2022
Admiral Duncan,54 Old Compton Street,,,City of Westminster,http://www.admiral-duncan.co.uk,,E09000033,West End,E05000649,-0.1338793181998275,51.513395750969664,529365.8535864461,181143.84619626333,11/27/2022
Muse Soho,23 Frith Street,,,City of Westminster,http://www.musesoho.com,,E09000033,West End,E05000649,-0.13276379052432472,51.51388114559016,529441.8609737026,181199.78704558784,11/27/2022
G-A-Y Bar,30 Old Compton Street,,,City of Westminster,,,E09000033,West End,E05000649,-0.13267158999061673,51.51403292284729,529447.8263816776,181216.82492786436,11/27/2022
G-A-Y Late,5 Goslett Yard,,,City of Westminster,http://www.g-a-y.co.uk,,E09000033,West End,E05000649,-0.13247543549171362,51.51565729516139,529456.8259464955,181397.77035361505,11/27/2022
Gays the Word,66 Marchmont Street,,,Camden,http://www.gaystheword.co.uk,,E09000007,King's Cross,E05000141,-0.1267106550517051,51.526086139908145,529827.0284882052,182567.48014547763,11/27/2022
New Bloomsbury Set,76 Marchmont Street,,,Camden,http://www.newbloomsburyset.net,,E09000007,King's Cross,E05000141,-0.12710054605645754,51.526532482560356,529798.7193762332,182616.4123400168,11/27/2022
Central Station (King's Cross),37 Wharfdale Road,,,Islington,,,E09000019,Caledonian,E05000368,-0.12203913489978649,51.53393266822713,530128.6104242853,183448.17215457006,11/27/2022
The White Swan,556 Commercial Road,,,Tower Hamlets,,,E09000030,Stepney Green,E05009334,-0.04179298884004737,51.51311703719505,535754.6662582463,181279.78528626554,11/27/2022
Circa the Club,Hungerford House,Victoria Embankment,,City of Westminster,,,E09000033,St. James's,E05000644,-0.12203615034763014,51.507389777424166,530204.5418666381,180497.12598142854,11/27/2022
Phoenix Arts Club (Regular LGBTQ+ Programming),1 Phoenix St,West End,London,,,,,,,-0.12950143585418528,51.514331246953944,529666.8886402118,181255.61105947918,11/27/2022
Royal Vauxhall Tavern,372 Kennington Lane,,,Lambeth,,,E09000022,Prince's,E05000427,-0.12128819586115328,51.487037952111706,530314.5074604909,178235.75104508636,11/27/2022
Dalston Superstore,117 Kingsland High Street,,,Hackney,http://dalstonsuperstore.com/,,E09000012,Shacklewell,E05009382,-0.07716035500803806,51.5499743427932,533193.5378799177,185312.45255020424,11/27/2022
Vogue Fabrics Dalston,66 Stoke Newington Road,,,Hackney,http://vfdalston.com,,E09000012,Shacklewell,E05009382,-0.07621885562149688,51.55315089981178,533249.4949953561,185667.3335080301,11/27/2022
The Two Brewers,114 Clapham High Street,,,Lambeth,www.the2brewers.com,,E09000022,Clapham Town,E05000419,-0.1364252341766067,51.46369443496113,529329.9624617667,175613.59147184365,11/27/2022
The Backstreet,Wentworth Mews,Burdett Road,,Tower Hamlets,http://www.thebackstreet.com/,,E09000030,Bow West,E05009320,-0.03579233135275791,51.52501715255094,536135.4255474856,182613.96588396403,11/27/2022
The Bridge Bar,8 Voltaire Road,Clapham,,Lambeth,http://www.bridgewinebar.com/#menu,,E09000022,Clapham Town,E05000419,-0.13519592452121587,51.466309434733354,529407.9215216888,175906.4965169091,11/27/2022
The Glory,281 Kingsland Road,,,Hackney,http://www.theglory.co,,E09000012,Hoxton East & Shoreditch,E05009377,-0.0787148135275043,51.53635076481132,533125.5915086188,183794.99217775016,11/27/2022
