name,borough_name,website,borough_code,address1,address2,address3,os_addressbase_uprn,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime
The Sassoon Gallery,Southwark,http://www.thesassoongallery.co.uk/#,E09000028,Arch 213 Blenheim Grove,Peckham,NA,200003492347,Rye Lane,E05011113,534139.8201293945,176268.25012210011,-0.06854833880284188,51.46897371325378,11/27/2022
Crypt Museum,City and County of the City of London,http://www.allhallowsbythetower.org.uk/visit/crypt/,E09000001,Byward Street,NA,NA,200000075582,Tower,E05009310,533395.0001221001,180682.00012210011,-0.07759820011277004,51.50881822633147,11/27/2022
Brocket Gallery,Lambeth,http://www.brocketgallery.com/#,E09000022,16 Windmill Row,NA,NA,200000468294,Oval,E05000426,531195.0001221001,178142.00012210011,-0.11022907826731713,51.48650486054455,11/27/2022
Orso Major Gallery,Lambeth,http://www.orsomajor.com/#,E09000022,19 Lower Marsh,NA,NA,200000471760,Bishop's,E05000416,531073.0001221001,179650.00012210011,-0.11142521396826433,51.500086500455005,11/27/2022
Man & Eve,Lambeth,http://www.manandeve.co.uk/#,E09000022,119-120 Lower Marsh,NA,NA,200000471832,Bishop's,E05000416,531061.0001221001,179673.00012210011,-0.11158946963980977,51.500295998715146,11/27/2022
Clapham Art Gallery,Lambeth,http://www.claphamartgallery.com/#,E09000022,Unit 02,40-48 Bromell’s Road,NA,200000520874,Clapham Town,E05000419,529425.0001221001,175385.00012210011,-0.1367202065292153,51.46213347432452,11/27/2022
Victoria Miro Gallery I,Hackney,http://www.victoria-miro.com/#,E09000012,16 Wharf Road,NA,NA,200002432213,Hoxton West,E05009378,532237.0401000977,182988.3500976935,-0.09341036603031562,51.529818761040865,11/27/2022
Old Royal Naval College,Greenwich,http://www.oldroyalnavalcollege.org/#,E09000011,2 Cutty Sark Gardens,NA,NA,200002800648,Greenwich West,E05000222,538360.6101073995,177870.3900756985,-0.0071853985177340535,51.48235586708259,11/27/2022
Bischoff/Weiss,City of Westminster,http://www.bischoffweiss.com/#,E09000033,14a Hay Hill,NA,NA,200002817730,West End,E05000649,528923.0001221001,180531.00012210011,-0.14206388814057905,51.508499292101526,11/27/2022
Borough Road Gallery,Southwark,http://www1.lsbu.ac.uk/w2/boroughroadgallery#,E09000028,103 Borough Road,NA,NA,200003353305,St. George's,E05011114,531860.3101195991,179459.68011479825,-0.10015903341352779,51.49819283865863,11/27/2022
Poppy Sebire,Southwark,http://www.poppysebire.com/#,E09000028,All Hallows Hall,6 Copperfield Street,NA,200003353342,Borough & Bankside,E05011095,532158.0001221001,179964.00012210011,-0.09568350394604495,51.50265590088561,11/27/2022
White Cube,Southwark,http://whitecube.com/#,E09000028,144-152 Bermondsey Street,NA,NA,200003362685,London Bridge & West Bermondsey,E05011104,533183.0001221001,179577.00012210011,-0.08106888393898747,51.49893710793588,11/27/2022
Flat Time House,Southwark,http://flattimeho.org.uk/#,E09000028,210 Bellenden Road,NA,NA,200003391772,Rye Lane,E05011113,533870.0001221001,175884.00012210011,-0.07257661524788013,51.46558418848394,11/27/2022
Arch Collective,Southwark,http://www.archcollective.co.uk/#,E09000028,Arch 12,Raymouth Road,NA,200003401561,North Bermondsey,E05011106,534826.0001221001,178805.00012210011,-0.05770571498702332,51.49160931563166,11/27/2022
South London Gallery,Southwark,http://www.southlondongallery.org/#,E09000028,65 Peckham Road,NA,NA,200003464154,St. Giles,E05011115,533458.0001221001,176784.00012210011,-0.07816495285733928,51.47377025501703,11/27/2022
Menier Gallery,Southwark,http://www.meniergallery.co.uk/#,E09000028,51 Southwark Street,NA,NA,200003495859,Borough & Bankside,E05011095,532367.0001221001,180132.00012210011,-0.09261067664714051,51.50411688554498,11/27/2022
Jerwood Space Gallery,Southwark,http://www.jerwoodspace.co.uk/#,E09000028,171 Union Street,NA,NA,200003496580,Borough & Bankside,E05011095,532031.0001221001,180010.00012210011,-0.09749518965423139,51.50309901521721,11/27/2022
Hannah Barry Gallery,Southwark,http://www.hannahbarry.com/#,E09000028,"Unit 9i, 133 Copeland Road",NA,NA,200003497923,Rye Lane,E05011113,534443.5200805962,176333.92010499537,-0.06415312023793011,51.46949183012114,11/27/2022
The Wapping Project Bankside,Southwark,http://thewappingprojectbankside.com/#,E09000028,65 Hopton Street,NA,NA,200003498823,Borough & Bankside,E05011095,531805.0001221001,180431.00012210011,-0.10059245354746495,51.506935535344816,11/27/2022
