name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,ward,latitude,longitude,contact_name,additional_contact_name,easting,northing,runtime
Gospel Oak 7 and 8 TRA Hall ,Weedington Road,Camden,NA,Camden,,5158306,E09000007,Gospel Oak,E05000134,E05000134,51.550926864027694,-0.14978436720301094,,,528268.0001221001,185235.00012210011,11/20/2022
Kingsland TA Room,Broxwood Way,Camden,NA,Camden,,5158315,E09000007,Swiss Cottage,E05000144,E05000144,51.53698930596734,-0.1625213189200874,,,527424.0001221001,183663.00012210011,11/20/2022
St Albans Villas and Oak Court TRA Hall,St Albans Villas,Camden,NA,Camden,,5158323,E09000007,Highgate,E05000137,E05000137,51.56067069915992,-0.14832111729733322,,,528342.0001221001,186321.00012210011,11/20/2022
Winchester Project ,21 Winchester Road,Camden,NA,Camden,,5158351,E09000007,Swiss Cottage,E05000144,E05000144,51.54279668952786,-0.17099893169056948,,,526820.0001221001,184294.00012210011,11/20/2022
Kent Hall ,Westcroft Way,Barnet,NA,Barnet,,200223249,E09000003,Childs Hill,E05000045,E05000045,51.556567783748676,-0.2072168458085275,,,524271.3601073995,185763.07012939453,11/20/2022
Doreen Bazell Hall,1 Goldington Street,Camden,NA,Camden,,5008498,E09000007,St. Pancras and Somers Town,E05000143,E05000143,51.533330519563236,-0.1290552370317545,,,529755.0001221001,183315.00012210011,11/20/2022
Maiden Lane Community Centre,156 St Paul'S Crescent,Camden,NA,Camden,https://www.maidenlanecommunitycentre.org/,5022268,E09000007,Cantelowes,E05000131,E05000131,51.54082903040415,-0.12723329201730965,,,529860.0001221001,184152.00012210011,11/20/2022
Swiss Cottage Community Centre,19 Winchester Road,Camden,NA,Camden,http://yourswiss.org/,5024570,E09000007,Swiss Cottage,E05000144,E05000144,51.54256907127662,-0.1708205599814882,,,526833.0001221001,184269.00012210011,11/20/2022
Kentish Town Community Centre,17 Busby Place,Camden,NA,Camden,http://www.ktcc.org.uk/,5026106,E09000007,Kentish Town,E05000139,E05000139,51.54803559056954,-0.13078876738765358,,,529593.0001221001,184947.00012210011,11/20/2022
Highgate Newtown Community Centre,25 Bertram Street,Camden,NA,Camden,https://www.highgatenewtown.org.uk/,5028517,E09000007,Highgate,E05000137,E05000137,51.562226941807424,-0.14151939352041362,,,528809.0001221001,186506.00012210011,11/20/2022
Kingsgate Resource Centre,Netherwood Street,Camden,NA,Camden,,5040594,E09000007,Kilburn,E05000140,E05000140,51.544761516167135,-0.19624819995991333,,,525064.0001221001,184469.00012210011,11/20/2022
Bengali Workers Community Centre,1 Robert Street,Camden,NA,Camden,http://bwa-surma.org/,5057066,E09000007,Regent's Park,E05000142,E05000142,51.52780387407432,-0.13724083167677864,,,529203.0001221001,182686.00012210011,11/20/2022
Holly Lodge Community Centre,30 Makepeace Avenue,Camden,NA,Camden,https://www.hlcchl.org/,5062979,E09000007,Highgate,E05000137,E05000137,51.56414346442284,-0.14669373438344488,,,528445.0001221001,186710.00012210011,11/20/2022
Sidings Community Centre,150 Brassey Road,Camden,NA,Camden,http://sidings.org.uk/,5064929,E09000007,Fortune Green,E05000132,E05000132,51.548529224439676,-0.19738298106207314,,,524975.0001221001,184886.00012210011,11/20/2022
Abbey Community Centre,222 Belsize Road,Camden,NA,Camden,http://abbeycc-kilburn.org.uk/,5075885,E09000007,Kilburn,E05000140,E05000140,51.53897264333696,-0.18710289654474827,,,525714.0001221001,183841.00012210011,11/20/2022
Camden Chinese Community Centre,9 Tavistock Place,Camden,NA,Camden,http://www.camdenccc.co.uk/,5087740,E09000007,King's Cross,E05000141,E05000141,51.524853190938735,-0.12533705380315477,,,530037.0001221001,182379.00012210011,11/20/2022
Ingestre Road Community Centre,Ingestre Road,Camden,NA,Camden,,5090630,E09000007,Kentish Town,E05000139,E05000139,51.554921634496566,-0.14135556155491638,,,528841.0001221001,185694.00012210011,11/20/2022
Hampstead Community Centre,78 Hampstead High Street,Camden,NA,Camden,http://www.hampsteadcommunitycentre.co.uk/,5090643,E09000007,Hampstead Town,E05000135,E05000135,51.55501518127371,-0.17480800813606603,,,526522.0001221001,185646.00012210011,11/20/2022
Castlehaven Community Centre,21 Castlehaven Road,Camden,NA,Camden,http://www.castlehaven.org.uk/,5109875,E09000007,Camden Town with Primrose Hill,E05000130,E05000130,51.54226737892517,-0.143602059316406,,,528721.0001221001,184283.00012210011,11/20/2022
Covent Garden Dragon Hall Trust,17 Stukeley Street,Camden,NA,Camden,http://www.dragonhall.org.uk/,5128852,E09000007,Holborn and Covent Garden,E05000138,E05000138,51.516115323779196,-0.12108316761798414,,,530357.0001221001,181415.00012210011,11/20/2022
Ampthill Square Tenants Hall,Barnby Street,Camden,NA,Camden,,5141150,E09000007,Regent's Park,E05000142,E05000142,51.530512324297305,-0.13563065231338534,,,529307.0001221001,182990.00012210011,11/20/2022
St Pancras Community Centre,17 Dornfell Street,Camden,NA,Camden,http://www.spca.org.uk/,5188488,E09000007,Fortune Green,E05000132,E05000132,51.550584906957965,-0.19772005193174425,,,524946.0001221001,185114.00012210011,11/20/2022
Kingsgate Community Centre,105-107 Kingsgate Road,Camden,NA,Camden,http://www.kingsgatecommunitycentre.org.uk/,10091822969,E09000007,Kilburn,E05000140,E05000140,51.543774745161045,-0.19465738347266687,,,525177.0001221001,184362.00012210011,11/20/2022
Boundary Hall,138 Snells Park,Enfield,NA,Enfield,,207004110,E09000010,Upper Edmonton,E05000212,E05000212,51.609287196716615,-0.06567164629375015,,,533927.0001221001,191875.00012210011,11/20/2022
Klinger Hall,Pickwick Mews,Enfield,NA,Enfield,,207035284,E09000010,Haselbury,E05000201,E05000201,51.615203903127,-0.07326438156321918,,,533384.0001221001,192519.00012210011,11/20/2022
Ayley Croft Hall,Ayley Croft,Enfield,NA,Enfield,,207039206,E09000010,Bush Hill Park,E05000194,E05000194,51.64178382159702,-0.060690230963601974,,,534175.9500731975,195497.49011229724,11/20/2022
Boleyn Hall,Boleyn Avenue,Enfield,NA,Enfield,,207154821,E09000010,Southbury,E05000207,E05000207,51.6634535313469,-0.053617971931007306,,,534601.0001221001,197920.00012210011,11/20/2022
Kempe Hall,Kempe Road,Enfield,NA,Enfield,,207160739,E09000010,Turkey Street,E05000211,E05000211,51.67608237090975,-0.04778200787154412,,,534967.0001221001,199335.00012210011,11/20/2022
Wayman Court Community Centre,Eleanor Road (North),Hackney,NA,Hackney,,10008230586,E09000012,Hackney Central,E05009372,E05009372,51.543367621629066,-0.05824262433488588,,,534636.0001221001,184559.00012210011,11/20/2022
North & South Arden Community Centre,Arden Estate,Hackney,NA,Hackney,,10008240056,E09000012,Hoxton East & Shoreditch,E05009377,E05009377,51.53168634298578,-0.08018206815305912,,,533149.0001221001,183220.00012210011,11/20/2022
Trelawney Club House,Paragon Road,Hackney,NA,Hackney,,10008242984,E09000012,Homerton,E05009376,E05009376,51.54481568710605,-0.05048937522109754,,,535169.2501221001,184734.3101195991,11/20/2022
