name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude,runtime
Imperial College Union Cinema,City of Westminster,,010033585054,E09000033,Knightsbridge and Belgravia,E05000637,Imperial College,Beit Quad,Prince Consort Rd,526552.6600952,179499.74011229724,-0.17657466110658307,51.499766323781785,11/27/2022
BFI IMAX,Lambeth,,200000488784,E09000022,Bishop's,E05000416,1 Charlie Chaplin Walk,Lambeth,,531018.0001221001,180118.00012210011,-0.11204336337040123,51.504305459092954,11/27/2022
Cineworld The O2 Greenwich,Greenwich,www.cineworld.co.uk,010010224824,E09000011,Peninsula,E05000225,,The O2,Peninsula Square,539223.7200927958,180136.86010739952,0.0061320437949981274,51.50251280959514,11/27/2022
"Vue Shepherd's Bush



",Hammersmith and Fulham,,000034141269,E09000013,Shepherd's Bush Green,E05000263,Westfield London Shopping Centre,Ariel Way,"
",523531.0001221001,180240.00012210011,-0.21982985509256242,51.50708847547983,11/27/2022
Curzon Mayfair,City of Westminster,,100023476131,E09000033,West End,E05000649,,38 Curzon Street,,528659.0001221001,180255.00012210011,-0.14596701838876475,51.506078846083284,11/27/2022
ICA,City of Westminster,,100023349547,E09000033,St. James's,E05000644,,The Mall,,529801.0001221001,180264.00012210011,-0.12951637265332902,51.505898538901775,11/27/2022
BFI Southbank,Lambeth,,200000480097,E09000022,Bishop's,E05000416,,Belvedere Road,Southbank,530851.4901122972,180350.55010989308,-0.11435506088975109,51.506434115012595,11/27/2022
Gate Picturehouse,Kensington and Chelsea,,010091855182,E09000020,Campden,E05009390,,87 Notting Hill Gate,,525204.0001221001,180408.00012210011,-0.19567383955289835,51.50823020043424,11/27/2022
Everyman Canary Wharf,Tower Hamlets,,000006198197,E09000030,Canary Wharf,E05009323,,Crossrail Place Level -2,Canary Wharf,537663.0001221001,180440.00012210011,-0.01622409646552968,51.5056195242626,11/27/2022
Empire Cinema Haymarket,City of Westminster,,010033536286,E09000033,St. James's,E05000644,,63-65 Haymarket,,529712.0001221001,180523.00012210011,-0.1307028783980005,51.508246793620316,11/27/2022
Curzon Mondrian London,Southwark,,010091666184,E09000028,Borough & Bankside,E05011095,,20 Upper Ground,,531471.620117195,180533.20007319748,-0.10535576745482274,51.50793173862438,11/27/2022
Vue Piccadilly,City of Westminster,,010033542264,E09000033,St. James's,E05000644,,19 Lower Regent Street,,529560.0001221001,180540.00012210011,-0.13288587171202126,51.50843446205277,11/27/2022
