name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,latitude,longitude,easting,northing,runtime
Purley,,,,Croydon,,0,E09000008,Purley Oaks & Riddlesdown,E05011477,51.34186024215012,-0.10992841576698205,531630.7324828953,162059.69592289627,11/27/2022
River-Brent-Park,,,,Brent,,0,E09000005,Stonebridge,E05000100,51.54558134520402,-0.26928023695124687,519998.4866942987,184437.82110599428,11/27/2022
Romford,,,,Havering,,0,E09000016,Hylands,E05000315,51.55569013474208,0.19027450241092617,551824.6536864936,186415.8192748949,11/27/2022
Royal-Oak,,,,City of Westminster,,0,E09000033,Westbourne,E05000648,51.51924202756447,-0.1893402052678726,525613.1663207933,181643.27612309903,11/27/2022
South-Norwood,,,,Croydon,,0,E09000008,South Norwood,E05011485,51.395095881650654,-0.07765258465712713,533723.1472777948,168037.24450679868,11/27/2022
Southbank,,,,Lambeth,,0,E09000022,Bishop's,E05000416,51.505919310878426,-0.11568236682408384,530760.8651122972,180290.93652340025,11/27/2022
Stockwell,,,,Lambeth,,0,E09000022,Ferndale,E05000421,51.46566463770334,-0.1147139058309932,530943.3449096978,175816.7520751953,11/27/2022
Telegraph-Hill,,,,Lewisham,,0,E09000023,Telegraph Hill,E05000453,51.468477816323045,-0.04307664722213089,535910.1569213942,176260.08349609375,11/27/2022
Tolworth,,,,Kingston upon Thames,,0,E09000021,Tolworth and Hook Rise,E05000414,51.37125637915593,-0.28240879365126403,519542.91229249537,165032.86352539808,11/27/2022
Victoria-Park,,,,Tower Hamlets,,0,E09000030,Bow East,E05009319,51.53795168764676,-0.032651599211177613,536426.4512939975,184004.21911619604,11/27/2022
Walthamstow,,,,Waltham Forest,,0,E09000031,Chapel End,E05000592,51.594397991061825,-0.018307628276068112,537250.9392699972,190307.32629399747,11/27/2022
Wandle-Park,,,,Croydon,,0,E09000008,Waddon,E05011487,51.37369396483531,-0.11250741235408757,531360.030517593,165594.59112549573,11/27/2022
West-Sutton,,,,Sutton,,0,E09000029,Sutton West,E05000567,51.36767468126478,-0.2013777407579144,525191.977111794,164769.84051509947,11/27/2022
White-Grounds,,,,Southwark,,0,E09000028,London Bridge & West Bermondsey,E05011104,51.50137419235182,-0.07865634060908148,533343.3139037937,179852.3715209961,11/27/2022
Whittington-Park,,,,Islington,,0,E09000019,Junction,E05000376,51.56165594418452,-0.12695536055725606,529819.9605102986,186468.26391599327,11/27/2022
Woolwich,,,,Greenwich,,0,E09000011,Woolwich Riverside,E05000230,51.493804953871994,0.06832805871455983,543567.0162963942,179288.80932619423,11/27/2022
