name,address1,address2,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address3,longitude,latitude,easting,northing,runtime
Rambert,99 Upper Ground,,Lambeth,http://www.rambert.org.uk,100023226975,E09000022,Bishop's,E05000416,,-0.11352326943298152,51.5061740428866,530798.6389797542,180377.15601985605,11/27/2022
Theatre Peckham,221 Havil Street,,Southwark,https://www.theatrepeckham.co.uk,10093342877,E09000028,St. Giles,E05011115,,-0.0827585908476541,51.47449518638107,533025.3657666997,176910.62115935306,11/27/2022
Mountview Theatre School,120 Peckham Hill Street,,Southwark,https://www.mountview.org.uk,10094742520,E09000028,Peckham,E05011110,,-0.06987725571183873,51.47487429992848,533918.5706031593,176976.2626903809,11/27/2022
Siobhan Davies Studios,85 St Georges Road,,Southwark,http://www.siobhandavies.com,10009805291,E09000028,St. George's,E05011114,,-0.10532906367427461,51.49605999784297,531396.2614309487,179267.3718267458,11/27/2022
Canada Water Culture Space,21 Surrey Quays Road,,Southwark,http://canadawaterculturespace.org.uk/contact-us,10090284129,E09000028,Rotherhithe,E05011112,,-0.04915361053641707,51.49780959239352,535289.4125404668,179564.2989557215,11/27/2022
National Circus,9 Coronet St,,Hackney,http://www.nationalcircus.org.uk,100023135619,E09000012,Hoxton East & Shoreditch,E05009377,,-0.08255020363839739,51.52755808546938,532885.281311353,182810.4699100285,11/27/2022
Upstairs at the Gatehouse,1 North Road,,Haringey,http://www.upstairsatthegatehouse.com,100023194241,E09000014,Highgate,E05000272,,-0.1503651244053542,51.5717955026533,528058.0602660807,187607.7169495119,11/27/2022
Omnibus Arts Centre,1 Northside Clapham Common,,Lambeth,http://omnibus-clapham.org,100023362765,E09000022,Clapham Town,E05000419,,-0.14241370760161176,51.46375803853589,528913.9104113508,175610.09278761758,11/27/2022
Camden People's Theatre,58-60 Hampstead Road,,Camden,https://www.cptheatre.co.uk,5158137,E09000007,Regent's Park,E05000142,,-0.13842362408321568,51.52640081348196,529013.8391823107,182581.72412901575,11/27/2022
Theatre Utopia,1 Matthews Yard,,Croydon,http://www.matthewsyard.com/venue/theatre-utopia/,10090382144,E09000008,Fairfield,E05011468,,-0.10109493638912355,51.372161063868425,532047.230527503,165500.23737080558,11/27/2022
Tricycle Theatre,269 Kilburn High Road,,Brent,http://www.tricycle.co.uk,202079064,E09000005,Kilburn,E05000094,,-0.20000599073152175,51.54331474177344,524696.8274428069,184355.33923497627,11/27/2022
Lilian Baylis Studio,183 Rosebery Avenue,,Islington,http://www.sadlerswells.com/venue-hire/lilian-baylis-studio/,5300080050,E09000019,Clerkenwell,E05000370,,-0.10587919015184069,51.529683816032346,531261.342431507,183004.67853260704,11/27/2022
Flow Dance London,1-3 Brixton Rd,Unit 3,Lambeth,https://flowdance-london.co.uk,10090196810,E09000022,Vassall,E05000436,,-0.10954604491438824,51.48048970371461,531148.3391200036,177528.71608946746,11/27/2022
The Place Theatre,17 Dukes Road,,Camden,http://www.theplace.org.uk,5156460,E09000007,King's Cross,E05000141,London,-0.12840199489824095,51.52750934818446,529705.6866684856,182722.710441205,11/27/2022
Trafalgar Studios (previously the Whitehall),14 Whitehall,,City of Westminster,http://trafalgarentertainment.com,100023336992,E09000033,St. James's,E05000644,,-0.12761518534783856,51.506633653228675,529819.6245676598,180403.13914411404,11/27/2022
Albany Centre and Theatre,1A Douglas Way,,Lewisham,http://www.thealbany.org.uk,100023280749,E09000023,New Cross,E05000449,,-0.027409246524924713,51.47787709615518,536857.9999720026,177388.66395419365,11/27/2022
Vaudeville Theatre,404 Strand,,City of Westminster,https://www.nimaxtheatres.com/vaudeville-theatre/,10033544051,E09000033,St. James's,E05000644,,-0.12247655187447566,51.51034644707493,530165.5561957472,180825.06457113865,11/27/2022
Theatre Delicatessen (Guardian House),119 Farringdon Road,,Islington,http://www.delistudios.co.uk/broadgate,10093624103,E09000019,Clerkenwell,E05000370,,-0.10845386132237624,51.52322361924053,531101.3677578324,182281.8124814998,11/27/2022
Chat's Palace,42 Brooksby's Walk,,Hackney,http://chatspalace.com,100023020798,E09000012,King's Park,E05009379,,-0.042683326455879175,51.55026392640687,535582.4029900779,185408.0194131403,11/27/2022
TripSpace Dance,339-340 Acton Mews,,Hackney,http://www.tripspace.co.uk,100023016667,E09000012,Haggerston,E05009375,,-0.07586457097290396,51.53679363512386,533321.917508259,183849.41566460283,11/27/2022
Her Majesty's Theatre,57 Haymarket,,City of Westminster,,100023349365,E09000033,St. James's,E05000644,,-0.1320069295137484,51.50812452822598,529510.6952639098,180561.1058186806,11/27/2022
West London School of Dance,25 Bulwer Street,,Hammersmith and Fulham,https://www.westlondonschoolofdance.co.uk,34039599,E09000013,Shepherd's Bush Green,E05000263,,-0.22374653497969876,51.505484972953944,523153.0827025457,180109.11526379368,11/27/2022
Theatro Technis,26 Crowndale Road,,Camden,http://www.theatrotechnis.com,5061419,E09000007,St. Pancras and Somers Town,E05000143,,-0.1346783042614774,51.53549591608827,529247.8001007922,183599.5440308834,11/27/2022
Questor's Theatre,12 Mattock Lane,,Ealing,http://www.questors.org.uk,12084402,E09000009,Walpole,E05000192,,-0.30965662431520685,51.51170888596852,517176.407127736,180659.8430943266,11/27/2022
JW3 (Jewish Community Centre London),351B Finchley Road,,Camden,https://www.jw3.org.uk,5164899,E09000007,West Hampstead,E05000145,,-0.18479152405561397,51.550912892683336,525730.6034732929,185226.18311217765,11/27/2022
Leicester Square Theatre,6 Leicester Place,,City of Westminster,http://www.leicestersquaretheatre.com,100023431690,E09000033,St. James's,E05000644,,-0.13007387269543458,51.511340102184406,529635.6746293672,180922.0397986744,11/27/2022
Tara Studio,356 Garratt Lane,,Wandsworth,https://www.tara-arts.com,121011012,E09000032,Earlsfield,E05000612,,-0.1884304249827461,51.44217584956201,525777.6181980747,173130.47711831873,11/27/2022
The Tabernacle,35 Powis Square,,Kensington and Chelsea,https://www.tabernaclew11.com,217070132,E09000020,Colville,E05009392,,-0.2018814067603197,51.516968162397546,524638.7820982584,181422.88900685904,11/27/2022
Beck Theatre,89 Grange Road,,Hillingdon,https://becktheatre.org.uk/Online/,10003001360,E09000017,Townfield,E05000339,,-0.421800756123298,51.521049798480966,509374.0498120586,181524.63550334598,11/27/2022
Rivoli Ballroom,350 Brockley Road,Crofton Park,Lewisham,https://www.rivoliballroom.com,10090782761,E09000023,Crofton Park,E05000441,,-0.03719375110440745,51.45526233825693,536246.1319037076,174856.1423543332,11/27/2022
Courtyard Theatre,40 Pitfield Street,,Hackney,http://www.thecourtyard.org.uk,100023136422,E09000012,Hoxton East & Shoreditch,E05009377,,-0.08337707468309591,51.52787925254408,532827.0041943259,182844.67512773728,11/27/2022
Studio K,2 Kew Road,,Richmond upon Thames,http://www.studiokdance.co.uk,10024346023,E09000027,South Richmond,E05000528,,-0.3017064577548405,51.46347521061349,517852.3750352361,175309.8907231326,11/27/2022
